fold_id,error_rate,log_loss,auroc
1,0.2137,0.5772,0.8674
2,0.2825,0.6117,0.7950
3,0.2163,0.5855,0.8587
1,0.2412,0.5814,0.8674
2,0.3187,0.6278,0.7706
3,0.2488,0.5957,0.8480
