fold_id,error_rate,log_loss,auroc
1,0.2475,0.5325,0.8460
2,0.2738,0.5663,0.8120
3,0.2550,0.5476,0.8303
1,0.2475,0.5339,0.8368
2,0.3425,0.5947,0.8030
3,0.2738,0.5586,0.8136
