fold_id,error_rate,log_loss,auroc
1,0.3037,0.9821,0.7638
2,0.3125,0.7893,0.7477
3,0.2800,0.7240,0.7975
1,0.2188,0.4758,0.8584
2,0.2512,0.5206,0.8290
3,0.2550,0.5234,0.8391
1,0.2488,8.5916,0.7513
2,0.2588,8.9370,0.7413
3,0.2362,8.1599,0.7638
1,0.3475,1.8543,0.6882
2,0.3450,1.6009,0.6970
3,0.3662,1.4777,0.6941
