fold_id,error_rate,log_loss,auroc
1,0.2475,0.5325,0.8460
2,0.2738,0.5663,0.8120
3,0.2550,0.5476,0.8303
1,0.2475,0.5339,0.8369
2,0.3425,0.5947,0.8030
3,0.2738,0.5586,0.8137
1,0.3488,12.0454,0.6513
2,0.4637,16.0174,0.5363
3,0.3838,13.2543,0.6162
