alpha,split0_train,split1_train,split2_train,split0_test,split1_test,split2_test
0,0,0,0,0.3025,0.32875,0.028125
0.1,0.0006,0,0.0006,0.2375,0.2763,0.2388
1,0.0063,0.0081,0.0081,0.2138,0.2825,0.2163
10,0.0306,0.0356,0.035,0.235,0.3,0.2363
100,0.0519,0.0683,0.0556,0.2425,0.3225,0.2325
