alpha,split0_train,split1_train,split2_train,split0_test,split1_test,split2_test,avg
0.0001,0.0544,0.0806,0.0688,0.2413,0.3575,0.2688,0.2892
0.01,0.0525,0.0794,0.0644,0.2425,0.3563,0.2675,0.288766667
1,0.01375,0.01313,0.01625,0.24125,0.31875,0.25,0.27
100,0,0,0,0.21875,0.28875,0.23375,0.247083333
10000,0,0,0,0.22125,0.2825,0.22875,0.244166667
