n_neighbors,split0_train,split1_train,split2_train,split0_test,split1_test,split2_test
1,0.0031,0.0025,0.0031,0.1773,0.1713,0.1927
3,0.1263,0.1063,0.1068,0.2522,0.2387,0.2578
5,0.1695,0.1775,0.1793,0.2834,0.2875,0.2641
7,0.1914,0.21,0.2086,0.2821,0.3138,0.2791
10,0.212,0.2269,0.2242,0.2909,0.3188,0.2866
