alpha,split0_train,split1_train,split2_train,split0_test,split1_test,split2_test
0,0.4934,0.4931,0.4933,0.4931,0.4933,0.4931
0.1,0.2389,0.2763,0.2342,0.2821,0.2938,0.2703
1,0.257,0.2956,0.2498,0.2946,0.3188,0.2703
10,0.2708,0.3194,0.2605,0.3071,0.3188,0.2716
100,0.3565,0.38375,0.30918,0.384,0.384,0.319
