alpha,split0_train,split1_train,split2_train,split0_test,split1_test,split2_test,avg
0.0001,0.1976,0.2006,0.1968,0.2172,0.225,0.2253,0.2225
0.01,0.0444,0.0544,0.0462,0.1561,0.1475,0.1852,0.162933333
1,0.0006,0.0031,0.0031,0.1498,0.155,0.1702,0.158333333
100,0.0006,0.0031,0.0031,0.1485,0.1537,0.1665,0.156233333
10000,0.0006,0.0031,0.0031,0.1485,0.155,0.169,0.1575
